ID,예민함정도,의견수용,말수,시간약속,리더십,체력,청결민감도,여행일정강도,국내or해외,산or바다,계획or즉흥,랜드마크,코골이,웨이팅,여행희망지역,싫어하는기후,여행목적,숙소유형,기상시간,여행예산,Summary,Profile,Rec_People,Rec_Travel
239,꽤 민감,다소 완고,매우 적다,보통,무조건 따름,5,매우 민감,매우 여유있게,해외,바다,즉흥 여행,무조건 다 봄,코골이 안함,다른 곳 간다,"유럽,세계일주,국내","건조함,습함,쌀쌀함","쇼핑,휴식,문화&역사체험","게스트하우스,펜션,민박",오전 9-10시,100만원 이하,저는 여행 중 예민한 성격 탓에 청결하지 못한 숙소에서의 경험이 가장 최악이었다고 생각해요. 때문에 이번 여행에서는 깨끗한 게스트하우스에서 머무는 것이 꼭 필요합니다. 함께 여행을 가는 사람은 말을 많이 하지 않으면서도 계획이나 리더십에 있어 제 의견을 존중할 수 있는 사람이면 좋겠어요. 세계일주와 같은 이 여행에서 가장 기대하는 것은 문화와 역사를 직접 체험하며 휴식과 쇼핑을 즐기는 것이에요. 이번 여행이 일상에서 벗어나 새로운 경험과 여유로움을 통해 제 삶에 활력을 주기를 바랍니다.,"이 사용자는 세계일주 지역을 선호하고, 건조함 기후를 피하고 싶어해요. 여행 목적은 쇼핑이며, 게스트하우스에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
240,매우 민감,보통,매우 적다,자주 늦음,보통,5,보통,꽤 빡빡하게,국내,바다,즉흥 여행,적당히 봄,코골이 함,다른 곳 간다,"세계일주,동남아,유럽","쌀쌀함,더움,상관없음","자연감상,사람&관계,미식","게스트하우스,4-5성급호텔,상관없음",오전 8-9시,100만원 이하,"저는 여행 중 날씨가 너무 덥거나 쌀쌀한 걸 피하려고 노력하는데, 이런 기후 때문에 여행의 즐거움이 반감된 적이 있어요. 그래서 이번 여행에서는 사람들과의 좋은 관계를 맺고, 맛있는 음식을 즐길 수 있는 기회를 놓치지 않으려 해요. 같이 여행을 가고 싶은 사람은 말이 많지 않지만 서로 편하게 있을 수 있는 사람이면 좋겠고, 이번 여행에서 가장 기대하는 것은 동남아에서의 자연 속 여유로운 시간입니다. 또한, 이번 여행이 제 삶에 새로운 사람들과의 유대감을 가져다주고, 일상에서 벗어난 힐링의 기회가 되었으면 해요. 여행 경비는 100만 원 이하로 유지하려고 하고, 즉흥적인 일정 속에서도 원할 때 여유롭게 바다를 즐기고 싶습니다.","이 사용자는 동남아 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 사람&관계이며, 게스트하우스에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
241,매우 민감,수용적,적다,매우 정확,보통,1,매우 둔감,꽤 빡빡하게,해외,산,즉흥 여행,적당히 봄,코골이 안함,다른 곳 간다,"국내,동남아,그 외","쌀쌀함,습함,추움","쇼핑,문화&역사체험,사람&관계","상관없음,게스트하우스,민박",오전 8-9시,300-400만원,"저는 이번 여행에서 사람들과 좋은 관계를 맺고 문화와 역사를 체험할 수 있는 기회를 가장 기대하고 있습니다. 여행 중에는 스케줄이 꽤 빡빡하지만 즉흥적으로 계획을 바꾸기도 하며, 예민한 성격상 시간이 정확하게 지켜지는 것을 중요하게 생각합니다. 따라서 함께 여행할 사람도 여러 의견을 수용할 수 있는 수용적인 성향을 갖추고 있었으면 좋겠습니다. 게스트하우스와 민박 같은 숙소에서 다른 사람들과의 교류를 즐기고 아침에 적당한 시간에 일어나기 때문에 여유로운 아침을 원칙으로 삼고 싶습니다. 이번 여행은 쇼핑과 문화 체험을 통한 새로운 시각을 얻어 삶의 의미를 더해가는 기회가 되길 바랍니다.","이 사용자는 국내 지역을 선호하고, 쌀쌀함 기후를 피하고 싶어해요. 여행 목적은 사람&관계이며, 게스트하우스에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
242,매우 둔감,보통,매우 적다,꽤 정확,따르는 편,3,보통,꽤 여유있게,해외,바다,즉흥 여행,무조건 다 봄,코골이 안함,기다림,"동남아,그 외,국내","상관없음,추움,습함","휴식,미식,공연&경기관람","게스트하우스,에어비엔비,3성이하 호텔",오전 10시 이후,100만원 이하,여행 중에 최악의 경험은 과도한 일정으로 인해 피곤하거나 스트레스를 받는 것일 것입니다. 그래서 이번 여행에서는 여유로운 일정과 함께 반드시 좋은 음식을 경험하고 싶습니다. 여행을 같이 가고 싶은 사람은 누구에게나 유연하게 의견을 조율할 수 있는 성격의 소유자일 것입니다. 이번 여행에서 가장 기대하는 것은 맛있는 음식과 새로운 공연이나 경기를 관람하는 것입니다. 또한 이번 여행은 일상에서 벗어나 진정한 휴식을 찾고 새로운 경험을 통해 삶에 긍정적인 에너지를 가져다주기를 바랍니다.,"이 사용자는 그 외 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 미식이며, 에어비엔비에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
243,보통,다소 완고,매우 적다,꽤 정확,따르는 편,4,보통,꽤 빡빡하게,해외,산,계획 여행,무조건 다 봄,코골이 안함,기다림,"세계일주,국내,그 외","추움,더움,습함","휴식,문화&역사체험,사람&관계","민박,펜션,에어비엔비",오전 10시 이후,300-400만원,"저는 예전에 습하고 더운 날씨로 인해 여행 중에 많이 힘들었던 적이 있어서, 이번에는 쾌적한 기후를 꼭 챙기고 싶습니다. 무엇보다도 저는 공간적인 여유가 있는 숙소에서 편히 쉬는 것을 중요하게 생각하기에 에어비엔비를 선호합니다. 함께 여행할 사람은 조용하게 함께해주며, 새로운 문화와 역사에 대한 호기심이 있는 사람이면 좋겠습니다. 이번 여행에서 세계일주를 하며 다양한 문화를 경험하는 것이 기대되며, 이는 제 삶에 새로운 시각과 사람들 간의 새로운 관계를 맺는 기회가 되기를 바랍니다. 여행 일정은 빡빡할지라도 사람들과의 관계를 통해 진정한 휴식과 의미 있는 경험을 찾고 싶습니다.","이 사용자는 국내 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 사람&관계이며, 에어비엔비에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
244,매우 민감,매우 완고,매우 적다,보통,리드하는편,3,둔감,매우 여유있게,국내,바다,계획 여행,적당히 봄,코골이 안함,기다림,"중국&몽골,동남아,일본","상관없음,추움,쌀쌀함","자연감상,도전과성장,문화&역사체험","민박,에어비엔비,게스트하우스",오전 10시 이후,200-300만원,"저는 여행 중 최악의 경험으로 복잡한 일정을 소화해야 했던 것이 생각납니다. 그래서 이번 여행에서는 여유로운 시간을 가장 중요하게 생각하며, 자연의 경치를 감상할 수 있는 기회를 놓치고 싶지 않습니다. 함께 여행할 사람은 너무 많은 말을 하지 않고, 계획에 충실한 사람이라면 좋겠습니다. 이번 여행에서는 동남아 지역의 아름다운 자연과 문화를 체험하면서 개인적으로 도전하고 성장할 수 있는 시간을 기대하고 있습니다. 이번 여행을 통해 일상의 바쁜 흐름에서 벗어나 자신을 돌아보고, 새로운 인사이트를 얻는 계기가 되었으면 합니다.","이 사용자는 동남아 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 도전과성장이며, 게스트하우스에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
245,매우 둔감,다소 완고,보통,종종 늦음,무조건 따름,1,둔감,꽤 빡빡하게,해외,바다,즉흥 여행,무조건 다 봄,코골이 안함,다른 곳 간다,"세계일주,일본,유럽","건조함,추움,쌀쌀함","기록,휴식,쇼핑","콘도,게스트하우스,4-5성급호텔",오전 8-9시,100만원 이하,"저는 여행 중에 건조하고 쌀쌀한 기후를 피하려는 편인데, 그런 기후에서의 여행은 제게 최악의 경험이 될 수 있어요. 여행을 할 때 중요하게 생각하는 것은 편안한 숙소에서의 휴식이며, 제 여행 목적에 부합하기 위해 콘도나 게스트하우스 같은 곳이 있어야 합니다. 함께 여행을 가고 싶은 사람은 저처럼 즉흥적인 여행을 즐길 수 있고 바다를 좋아하는 사람이면 좋겠어요. 이번 여행에서는 여러 지역의 랜드마크를 둘러보는 것을 가장 기대하고 있습니다. 이번 여행은 저의 삶에 있어 여유와 휴식을 통해 에너지를 재충전할 수 있는 의미를 가졌으면 합니다.","이 사용자는 세계일주 지역을 선호하고, 쌀쌀함 기후를 피하고 싶어해요. 여행 목적은 휴식이며, 게스트하우스에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
246,보통,다소 완고,매우 많다,꽤 정확,무조건 리드,1,둔감,매우 빡빡하게,해외,바다,계획 여행,무조건 다 봄,코골이 함,기다림,"중국&몽골,미국,유럽","쌀쌀함,더움,습함","액티비티,휴식,문화&역사체험","게스트하우스,상관없음,콘도",오전 10시 이후,400만원 이상,"미국 여행을 계획하면서 가장 크게 기대하는 것은 다채로운 액티비티와 함께 현지의 문화와 역사를 체험하는 것입니다. 과거 여행 중 쌀쌀한 날씨 때문에 힘들었던 기억이 있어, 이번에는 쾌적한 기후에서 꼼꼼한 계획 아래 랜드마크를 둘러보고 싶습니다. 게스트하우스나 콘도에서 숙박하며, 혼자서 이끄는 스타일이니 의견이 맞고 적당히 적극적인 동행자를 선호합니다. 이번 여행에서는 체력이 약한 만큼 체력을 우선 고려해 여유로운 시간을 가질 수 있는 휴식도 중요하며, 이런 경험이 제 삶에 활력을 불어넣기를 바랍니다. 또한 아침에 늦게 일어나는 편이기 때문에 좀 더 여유 있는 일정과 배려 있는 환경이 함께 제공되길 바랍니다.","이 사용자는 미국 지역을 선호하고, 쌀쌀함 기후를 피하고 싶어해요. 여행 목적은 액티비티이며, 상관없음에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
247,둔감,보통,많다,매우 정확,무조건 리드,1,매우 민감,매우 여유있게,국내,산,계획 여행,무조건 다 봄,코골이 함,기다림,"국내,그 외,중국&몽골","더움,쌀쌀함,상관없음","도전과성장,액티비티,공연&경기관람","게스트하우스,상관없음,콘도",오전 9-10시,200-300만원,"저는 국내 여행을 좋아하며, 이번 여행에서 공연이나 경기를 관람하는 것을 가장 기대하고 있습니다. 여행 중 최악의 경험은 더위나 춥지 않았으면 좋겠다는 바람과 너무 빡빡한 일정일 때 피곤함에서 오는 불쾌함입니다. 이런 이유로 여유롭고 계획적인 여행을 선호합니다. 함께 여행하고 싶은 사람은 시간 약속에 철저하고, 제가 리드하는 계획에 잘 따라와 줄 수 있는 사람입니다. 여행이 끝난 후에는 새로운 도전과 성장의 기회로 삼고, 에너지를 충전할 수 있는 소중한 시간으로 남기를 바랍니다.","이 사용자는 국내 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 공연&경기관람이며, 상관없음에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
248,둔감,보통,매우 많다,보통,보통,4,둔감,보통,해외,바다,즉흥 여행,적당히 봄,코골이 안함,다른 곳 간다,"유럽,미국,국내","상관없음,건조함,더움","공연&경기관람,휴식,액티비티","상관없음,민박,4-5성급호텔",오전 10시 이후,200-300만원,"저는 여행 중 무엇보다 긴 웨이팅 상황은 피하고 싶어요. 그래서 이번 여행에서는 티켓이나 예약 같은 건 미리 준비하거나 대안을 마련해 두려고 해요. 같이 여행 갈 사람으로는 말수가 적더라도 서로 의견을 잘 조율할 수 있는 사람이 좋고, 리더십이 보통 수준인 동행자와 여행하면 좋겠어요. 이번 여행에서 가장 기대하는 것은 공연이나 스포츠 경기를 보며 휴식을 취하는 것이고, 이렇게 얻은 경험이 제 삶에 있어 새로운 활력을 주었으면 해요. 이번 여행이 저에게는 충분한 예산 안에서의 즐거운 도전이자 해외에서 자유로운 시간을 보내며 재충전할 수 있는 기회가 되기를 바랍니다.","이 사용자는 국내 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 휴식이며, 4-5성급호텔에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
249,꽤 민감,수용적,매우 적다,보통,무조건 따름,5,매우 둔감,꽤 빡빡하게,해외,산,즉흥 여행,무조건 다 봄,코골이 안함,다른 곳 간다,"세계일주,일본,국내","습함,쌀쌀함,추움","액티비티,도전과성장,미식","게스트하우스,에어비엔비,콘도",오전 8-9시,300-400만원,"저는 여행 중에 지나치게 습하고 쌀쌀한 기후를 만나거나 너무 많은 웨이팅 시간을 보내게 되면 최악의 경험으로 느낄 수 있습니다. 이번 여행에서 반드시 액티비티 기회가 많기를 바라며, 자연 경관을 충분히 즐길 수 있는 일정을 기대하고 있습니다. 제가 선호하는 여행 동료는 말수가 적고 다양한 의견을 잘 수용하는 사람이면 좋겠고, 숙소는 게스트하우스 같은 편안한 곳이었으면 합니다. 이번 여행에서는 세계 여러 곳을 돌아다니며 도전과 성장을 통해 제 삶에 큰 의미를 더하고 싶고, 또한 일본에서는 미식을 즐기며 경험을 풍부하게 하고 싶습니다. 해외의 산을 탐험하며 즉흥적으로 다양한 랜드마크를 방문하는 것이 여행을 통해 얻고 싶은 가장 큰 가치입니다.","이 사용자는 일본 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 액티비티이며, 게스트하우스에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
